source,category,url,scraped_at,scrape_run_id,title,price,currency,availability,location,posted_at,brand_guess,model_guess,mpn_guess,http_status,response_time_ms
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/acer/gaming-156-nitro-v-15-anv15-52-fhd-ips-165hz-procesor-intel-core-i9-13900h-24m-cache-up-to-540-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-5060-8gb-no-os-obsidian-black-2/,2026-03-02T21:36:58.544091+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop Acer Gaming 15.6'' Nitro V 15 ANV15-52, FHD IPS 165Hz, Procesor Intel® Core™ i9-13900H (24M Cache, up to 5.40 GHz), 32GB DDR4, 1TB SSD, GeForce RTX 5060 8GB, No OS, Obsidian Black",7399.00,RON,InStock,,,ACER,Nitro V 15,ANV15-52,200,3282
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/156-expertbook-b1-b1503cva-fhd-procesor-intel-core-i5-13420h-12m-cache-up-to-460-ghz-16gb-ddr5-1tb-ssd-intel-uhd-no-os-gentle-grey-2/,2026-03-02T21:37:03.576436+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop ASUS 15.6'' ExpertBook B1 B1503CVA, FHD, Procesor Intel® Core™ i5-13420H (12M Cache, up to 4.60 GHz), 16GB DDR5, 1TB SSD, Intel UHD, No OS, Gentle Grey",2398.99,RON,InStock,,,ASUS,B1503CVA,I5-13420H,200,1900
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/156-expertbook-p1-p1503cva-fhd-procesor-intel-core-i7-13620h-24m-cache-up-to-490-ghz-16gb-ddr5-512gb-ssd-intel-uhd-no-os-misty-grey/,2026-03-02T21:37:07.626021+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop ASUS 15.6'' ExpertBook P1 P1503CVA, FHD, Procesor Intel® Core™ i7-13620H (24M Cache, up to 4.90 GHz), 16GB DDR5, 512GB SSD, Intel UHD, No OS, Misty Grey",2698.99,RON,InStock,,,ASUS,P1503CVA,I7-13620H,200,1896
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-tuf-a15-fa506ncg-fhd-144hz-procesor-amd-ryzen-7-7445hs-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-3050-4gb-no-os-graphite-black/,2026-03-02T21:37:11.825414+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop ASUS Gaming 15.6'' TUF A15 FA506NCG, FHD 144Hz, Procesor AMD Ryzen™ 7 7445HS (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 3050 4GB, No OS, Graphite Black",3998.99,RON,InStock,,,ASUS,TUF A15,,200,1839
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-16-tuf-a16-fa607nug-fhd-plus-144hz-procesor-amd-ryzen-7-7445hs-16m-cache-up-to-47-ghz-32gb-ddr5-512gb-ssd-geforce-rtx-4050-6gb-no-os-mecha-gray/,2026-03-02T21:37:16.858830+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop ASUS Gaming 16'' TUF A16 FA607NUG, FHD+ 144Hz, Procesor AMD Ryzen™ 7 7445HS (16M Cache, up to 4.7 GHz), 32GB DDR5, 512GB SSD, GeForce RTX 4050 6GB, No OS, Mecha Gray",4798.99,RON,InStock,,,ASUS,TUF A16,,200,1851
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-173-tuf-f17-fx707vj-fhd-144hz-procesor-intel-core-5-210h-12m-cache-up-to-480-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-3050-6gb-no-os-mecha-gray-2/,2026-03-02T21:37:20.374786+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop ASUS Gaming 17.3'' TUF F17 FX707VJ, FHD 144Hz, Procesor Intel® Core™ 5 210H (12M Cache, up to 4.80 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 3050 6GB, No OS, Mecha Gray",3998.99,RON,InStock,,,ASUS,TUF F17,,200,1806
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/dell/156-15-dc15250-fhd-120hz-procesor-intel-core-i5-1334u-12m-cache-up-to-460-ghz-16gb-ddr4-512gb-ssd-intel-integrated-graphics-win-11-pro-carbon-black-3yr-prosupport/,2026-03-02T21:37:24.773993+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop DELL 15.6'' 15 DC15250, FHD 120Hz, Procesor Intel® Core™ i5-1334U (12M Cache, up to 4.60 GHz), 16GB DDR4, 512GB SSD, Intel Integrated Graphics, Win 11 Pro, Carbon Black, 3Yr ProSupport",3078.99,RON,InStock,,,DELL,DC15250,I5-1334U,200,1803
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/gigabyte/gaming-16-a16-3vh-wuxga-165hz-procesor-amd-ryzen-7-260-16m-cache-up-to-510-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-5060-8gb-no-os-black-steel/,2026-03-02T21:37:29.509299+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop GIGABYTE Gaming 16'' A16 3VH, WUXGA 165Hz, Procesor AMD Ryzen™ 7 260 (16M Cache, up to 5.10 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 5060 8GB, No OS, Black Steel",5398.99,RON,InStock,,,GIGABYTE,,,200,1777
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/gigabyte/gaming-16-a16-cth-wuxga-165hz-procesor-intel-core-i7-13620h-24m-cache-up-to-490-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-5050-8gb-no-os-black-steel/,2026-03-02T21:37:33.156249+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop GIGABYTE Gaming 16'' A16 CTH, WUXGA 165Hz, Procesor Intel® Core™ i7-13620H (24M Cache, up to 4.90 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 5050 8GB, No OS, Black Steel",4998.99,RON,InStock,,,GIGABYTE,,I7-13620H,200,1762
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/hp/156-probook-450-g10-fhd-ips-procesor-intel-core-i5-1334u-12m-cache-up-to-460-ghz-16gb-ddr4-512gb-ssd-intel-iris-xe-win-11-pro-silver/,2026-03-02T21:37:38.405368+00:00,bbc0bacd-6001-472b-8cdb-b5bf135689be,"Laptop HP 15.6'' ProBook 450 G10, FHD IPS, Procesor Intel® Core™ i5-1334U (12M Cache, up to 4.60 GHz), 16GB DDR4, 512GB SSD, Intel Iris Xe, Win 11 Pro, Silver",3948.99,RON,InStock,,,HP,ProBook 450,I5-1334U,200,1883
