source,category,url,scraped_at,scrape_run_id,title,price,currency,availability,location,posted_at,brand_guess,model_guess,mpn_guess,http_status,response_time_ms
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/acer/gaming-156-nitro-v-15-anv15-52-fhd-ips-165hz-procesor-intel-core-i9-13900h-24m-cache-up-to-540-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-5060-8gb-no-os-obsidian-black-2/,2026-03-02T21:17:13.442115+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Acer Gaming 15.6'' Nitro V 15 ANV15-52, FHD IPS 165Hz, Procesor Intel® Core™ i9-13900H (24M Cache, up to 5.40 GHz), 32GB DDR4, 1TB SSD, GeForce RTX 5060 8GB, No OS, Obsidian Black",7399.00,RON,InStock,,,ACER,I9-13900H,ANV15-52,200,4287
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/156-expertbook-b1-b1503cva-fhd-procesor-intel-core-i5-13420h-12m-cache-up-to-460-ghz-16gb-ddr5-1tb-ssd-intel-uhd-no-os-gentle-grey-2/,2026-03-02T21:17:19.725212+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS 15.6'' ExpertBook B1 B1503CVA, FHD, Procesor Intel® Core™ i5-13420H (12M Cache, up to 4.60 GHz), 16GB DDR5, 1TB SSD, Intel UHD, No OS, Gentle Grey",2398.99,RON,InStock,,,ASUS,I5-13420H,I5-13420H,200,2904
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/156-expertbook-p1-p1503cva-fhd-procesor-intel-core-i7-13620h-24m-cache-up-to-490-ghz-16gb-ddr5-512gb-ssd-intel-uhd-no-os-misty-grey/,2026-03-02T21:17:25.392015+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS 15.6'' ExpertBook P1 P1503CVA, FHD, Procesor Intel® Core™ i7-13620H (24M Cache, up to 4.90 GHz), 16GB DDR5, 512GB SSD, Intel UHD, No OS, Misty Grey",2698.99,RON,InStock,,,ASUS,I7-13620H,I7-13620H,200,2994
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-tuf-a15-fa506ncg-fhd-144hz-procesor-amd-ryzen-7-7445hs-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-3050-4gb-no-os-graphite-black/,2026-03-02T21:17:30.706550+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS Gaming 15.6'' TUF A15 FA506NCG, FHD 144Hz, Procesor AMD Ryzen™ 7 7445HS (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 3050 4GB, No OS, Graphite Black",3998.99,RON,InStock,,,ASUS,TUF A15,,200,2925
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-16-tuf-a16-fa607nug-fhd-plus-144hz-procesor-amd-ryzen-7-7445hs-16m-cache-up-to-47-ghz-32gb-ddr5-512gb-ssd-geforce-rtx-4050-6gb-no-os-mecha-gray/,2026-03-02T21:17:35.556371+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS Gaming 16'' TUF A16 FA607NUG, FHD+ 144Hz, Procesor AMD Ryzen™ 7 7445HS (16M Cache, up to 4.7 GHz), 32GB DDR5, 512GB SSD, GeForce RTX 4050 6GB, No OS, Mecha Gray",4798.99,RON,InStock,,,ASUS,TUF A16,,200,2897
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-173-tuf-f17-fx707vj-fhd-144hz-procesor-intel-core-5-210h-12m-cache-up-to-480-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-3050-6gb-no-os-mecha-gray-2/,2026-03-02T21:17:41.955028+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS Gaming 17.3'' TUF F17 FX707VJ, FHD 144Hz, Procesor Intel® Core™ 5 210H (12M Cache, up to 4.80 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 3050 6GB, No OS, Mecha Gray",3998.99,RON,InStock,,,ASUS,TUF F17,,200,3315
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/dell/156-15-dc15250-fhd-120hz-procesor-intel-core-i5-1334u-12m-cache-up-to-460-ghz-16gb-ddr4-512gb-ssd-intel-integrated-graphics-win-11-pro-carbon-black-3yr-prosupport/,2026-03-02T21:17:48.237449+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop DELL 15.6'' 15 DC15250, FHD 120Hz, Procesor Intel® Core™ i5-1334U (12M Cache, up to 4.60 GHz), 16GB DDR4, 512GB SSD, Intel Integrated Graphics, Win 11 Pro, Carbon Black, 3Yr ProSupport",3078.99,RON,InStock,,,DELL,I5-1334U,I5-1334U,200,3312
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/gigabyte/gaming-16-a16-3vh-wuxga-165hz-procesor-amd-ryzen-7-260-16m-cache-up-to-510-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-5060-8gb-no-os-black-steel/,2026-03-02T21:17:54.687125+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop GIGABYTE Gaming 16'' A16 3VH, WUXGA 165Hz, Procesor AMD Ryzen™ 7 260 (16M Cache, up to 5.10 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 5060 8GB, No OS, Black Steel",5398.99,RON,InStock,,,GIGABYTE,165HZ,,200,2995
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/gigabyte/gaming-16-a16-cth-wuxga-165hz-procesor-intel-core-i7-13620h-24m-cache-up-to-490-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-5050-8gb-no-os-black-steel/,2026-03-02T21:18:00.819443+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop GIGABYTE Gaming 16'' A16 CTH, WUXGA 165Hz, Procesor Intel® Core™ i7-13620H (24M Cache, up to 4.90 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 5050 8GB, No OS, Black Steel",4998.99,RON,InStock,,,GIGABYTE,I7-13620H,I7-13620H,200,3231
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/hp/156-probook-450-g10-fhd-ips-procesor-intel-core-i5-1334u-12m-cache-up-to-460-ghz-16gb-ddr4-512gb-ssd-intel-iris-xe-win-11-pro-silver/,2026-03-02T21:18:06.884862+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop HP 15.6'' ProBook 450 G10, FHD IPS, Procesor Intel® Core™ i5-1334U (12M Cache, up to 4.60 GHz), 16GB DDR4, 512GB SSD, Intel Iris Xe, Win 11 Pro, Silver",3948.99,RON,InStock,,,HP,I5-1334U,I5-1334U,200,3400
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/lenovo/156-v15-g4-amn-fhd-procesor-amd-ryzen-5-7520u-4m-cache-up-to-43-ghz-16gb-ddr5-512gb-ssd-radeon-610m-no-os-business-black-1/,2026-03-02T21:18:12.001056+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Lenovo 15.6'' V15 G4 AMN, FHD, Procesor AMD Ryzen™ 5 7520U (4M Cache, up to 4.3 GHz), 16GB DDR5, 512GB SSD, Radeon 610M, No OS, Business Black",2098.99,RON,InStock,,,LENOVO,7520U,,200,3052
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/lenovo/156-v15-g4-amn-fhd-procesor-amd-ryzen-5-7520u-4m-cache-up-to-43-ghz-16gb-lpddr5-512gb-ssd-amd-radeon-610m-win-11-pro-business-black/,2026-03-02T21:18:16.500462+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Lenovo 15.6'' V15 G4 AMN, FHD, Procesor AMD Ryzen™ 5 7520U (4M Cache, up to 4.3 GHz), 16GB LPDDR5, 512GB SSD, AMD Radeon 610M, Win 11 Pro, Business Black",2698.99,RON,InStock,,,LENOVO,LPDDR5,,200,2875
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/lenovo/156-v15-g4-iru-fhd-ips-procesor-intel-core-i3-1315u-10m-cache-up-to-450-ghz-with-ipu-8gb-ddr4-256gb-ssd-gma-uhd-no-os-business-black/,2026-03-02T21:18:21.316715+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Lenovo 15.6'' V15 G4 IRU, FHD IPS, Procesor Intel® Core™ i3-1315U (10M Cache, up to 4.50 GHz, with IPU), 8GB DDR4, 256GB SSD, GMA UHD, No OS, Business Black",1598.99,RON,InStock,,,LENOVO,I3-1315U,I3-1315U,200,3195
